data,dia_semana,hora,altura_m,tipo_mare
2025-02-04,Terça-feira,02:10,0.36,Baixa-mar
2025-02-04,Terça-feira,08:34,2.06,Preamar
2025-02-04,Terça-feira,14:38,0.44,Baixa-mar
2025-02-04,Terça-feira,21:02,2.05,Preamar
2025-02-20,Quinta-feira,02:34,0.84,Baixa-mar
2025-02-20,Quinta-feira,09:04,1.75,Preamar
2025-02-20,Quinta-feira,15:19,0.88,Baixa-mar
2025-02-20,Quinta-feira,21:44,1.63,Preamar
2025-02-05,Quarta-feira,03:08,0.55,Baixa-mar
2025-02-05,Quarta-feira,09:36,1.93,Preamar
2025-02-05,Quarta-feira,15:51,0.57,Baixa-mar
2025-02-05,Quarta-feira,22:12,1.88,Preamar
2025-02-21,Sexta-feira,03:47,0.97,Baixa-mar
2025-02-21,Sexta-feira,10:19,1.68,Preamar
2025-02-21,Sexta-feira,16:57,0.93,Baixa-mar
2025-02-21,Sexta-feira,23:19,1.59,Preamar
2025-02-06,Quinta-feira,04:25,0.7,Baixa-mar
2025-02-06,Quinta-feira,10:51,1.85,Preamar
2025-02-06,Quinta-feira,17:17,0.64,Baixa-mar
2025-02-06,Quinta-feira,23:40,1.8,Preamar
2025-02-22,Sábado,05:34,0.98,Baixa-mar
2025-02-22,Sábado,11:55,1.72,Preamar
2025-02-22,Sábado,18:34,0.84,Baixa-mar
2025-02-07,Sexta-feira,05:57,0.76,Baixa-mar
2025-02-07,Sexta-feira,12:16,1.86,Preamar
2025-02-07,Sexta-feira,18:53,0.59,Baixa-mar
2025-02-23,Domingo,00:55,1.68,Preamar
2025-02-23,Domingo,06:57,0.88,Baixa-mar
2025-02-23,Domingo,13:06,1.85,Preamar
2025-02-23,Domingo,19:40,0.67,Baixa-mar
2025-02-08,Sábado,01:08,1.83,Preamar
2025-02-08,Sábado,07:17,0.7,Baixa-mar
2025-02-08,Sábado,13:36,1.97,Preamar
2025-02-08,Sábado,20:01,0.46,Baixa-mar
2025-02-24,Segunda-feira,01:55,1.85,Preamar
2025-02-24,Segunda-feira,07:55,0.71,Baixa-mar
2025-02-24,Segunda-feira,14:04,2.04,Preamar
2025-02-24,Segunda-feira,20:27,0.47,Baixa-mar
2025-02-09,Domingo,02:17,1.93,Preamar
2025-02-09,Domingo,08:17,0.58,Baixa-mar
2025-02-09,Domingo,14:38,2.11,Preamar
2025-02-09,Domingo,20:55,0.32,Baixa-mar
2025-02-25,Terça-feira,02:42,2.03,Preamar
2025-02-25,Terça-feira,08:40,0.52,Baixa-mar
2025-02-25,Terça-feira,14:53,2.24,Preamar
2025-02-25,Terça-feira,21:06,0.28,Baixa-mar
2025-02-10,Segunda-feira,03:10,2.05,Preamar
2025-02-10,Segunda-feira,09:04,0.46,Baixa-mar
2025-02-10,Segunda-feira,15:23,2.25,Preamar
2025-02-10,Segunda-feira,21:36,0.21,Baixa-mar
2025-02-26,Quarta-feira,03:23,2.21,Preamar
2025-02-26,Quarta-feira,09:19,0.34,Baixa-mar
2025-02-26,Quarta-feira,15:32,2.43,Preamar
2025-02-26,Quarta-feira,21:47,0.11,Baixa-mar
2025-02-11,Terça-feira,03:55,2.15,Preamar
2025-02-11,Terça-feira,09:46,0.35,Baixa-mar
2025-02-11,Terça-feira,16:04,2.35,Preamar
2025-02-11,Terça-feira,22:12,0.14,Baixa-mar
2025-02-27,Quinta-feira,04:02,2.37,Preamar
2025-02-27,Quinta-feira,10:01,0.18,Baixa-mar
2025-02-27,Quinta-feira,16:14,2.58,Preamar
2025-02-27,Quinta-feira,22:23,-0.0,Baixa-mar
2025-02-12,Quarta-feira,04:29,2.23,Preamar
2025-02-12,Quarta-feira,10:21,0.27,Baixa-mar
2025-02-12,Quarta-feira,16:40,2.41,Preamar
2025-02-12,Quarta-feira,22:47,0.11,Baixa-mar
2025-02-28,Sexta-feira,04:42,2.49,Preamar
2025-02-28,Sexta-feira,10:40,0.06,Baixa-mar
2025-02-28,Sexta-feira,16:55,2.68,Preamar
2025-02-28,Sexta-feira,23:02,-0.05,Baixa-mar
2025-02-13,Quinta-feira,05:02,2.28,Preamar
2025-02-13,Quinta-feira,10:55,0.22,Baixa-mar
2025-02-13,Quinta-feira,17:12,2.43,Preamar
2025-02-13,Quinta-feira,23:19,0.12,Baixa-mar
2025-02-14,Sexta-feira,05:32,2.29,Preamar
2025-02-14,Sexta-feira,11:25,0.22,Baixa-mar
2025-02-14,Sexta-feira,17:44,2.4,Preamar
2025-02-14,Sexta-feira,23:51,0.18,Baixa-mar
2025-02-15,Sábado,06:02,2.26,Preamar
2025-02-15,Sábado,11:57,0.26,Baixa-mar
2025-02-15,Sábado,18:12,2.33,Preamar
2025-02-16,Domingo,00:17,0.27,Baixa-mar
2025-02-16,Domingo,06:32,2.2,Preamar
2025-02-16,Domingo,12:25,0.34,Baixa-mar
2025-02-16,Domingo,18:44,2.21,Preamar
2025-03-01,Sábado,05:17,2.55,Preamar
2025-03-01,Sábado,11:16,0.01,Baixa-mar
2025-03-01,Sábado,17:31,2.69,Preamar
2025-03-01,Sábado,23:42,-0.02,Baixa-mar
2025-03-17,Segunda-feira,05:57,2.35,Preamar
2025-03-17,Segunda-feira,11:53,0.36,Baixa-mar
2025-03-17,Segunda-feira,18:08,2.3,Preamar
2025-03-02,Domingo,05:57,2.54,Preamar
2025-03-02,Domingo,11:57,0.03,Baixa-mar
2025-03-02,Domingo,18:12,2.62,Preamar
2025-03-18,Terça-feira,00:06,0.44,Baixa-mar
2025-03-18,Terça-feira,06:23,2.27,Preamar
2025-03-18,Terça-feira,12:21,0.47,Baixa-mar
2025-03-18,Terça-feira,18:40,2.16,Preamar
2025-03-03,Segunda-feira,00:17,0.09,Baixa-mar
2025-03-03,Segunda-feira,06:36,2.46,Preamar
2025-03-03,Segunda-feira,12:38,0.14,Baixa-mar
2025-03-03,Segunda-feira,18:57,2.47,Preamar
2025-03-19,Quarta-feira,00:34,0.58,Baixa-mar
2025-03-19,Quarta-feira,06:55,2.15,Preamar
2025-03-19,Quarta-feira,12:55,0.61,Baixa-mar
2025-03-19,Quarta-feira,19:14,2.01,Preamar
2025-03-04,Terça-feira,01:01,0.27,Baixa-mar
2025-03-04,Terça-feira,07:17,2.32,Preamar
2025-03-04,Terça-feira,13:21,0.31,Baixa-mar
2025-03-04,Terça-feira,19:47,2.26,Preamar
2025-03-20,Quinta-feira,01:04,0.73,Baixa-mar
2025-03-20,Quinta-feira,07:29,2.02,Preamar
2025-03-20,Quinta-feira,13:32,0.76,Baixa-mar
2025-03-20,Quinta-feira,19:59,1.85,Preamar
2025-03-05,Quarta-feira,01:46,0.5,Baixa-mar
2025-03-05,Quarta-feira,08:08,2.14,Preamar
2025-03-05,Quarta-feira,14:16,0.53,Baixa-mar
2025-03-05,Quarta-feira,20:44,2.03,Preamar
2025-03-21,Sexta-feira,01:49,0.9,Baixa-mar
2025-03-21,Sexta-feira,08:17,1.89,Preamar
2025-03-21,Sexta-feira,14:32,0.91,Baixa-mar
2025-03-21,Sexta-feira,21:02,1.72,Preamar
2025-03-06,Quinta-feira,02:40,0.74,Baixa-mar
2025-03-06,Quinta-feira,09:08,1.96,Preamar
2025-03-06,Quinta-feira,15:36,0.72,Baixa-mar
2025-03-06,Quinta-feira,21:57,1.83,Preamar
2025-03-22,Sábado,02:59,1.04,Baixa-mar
2025-03-22,Sábado,09:31,1.8,Preamar
2025-03-22,Sábado,16:14,0.97,Baixa-mar
2025-03-22,Sábado,22:42,1.67,Preamar
2025-03-07,Sexta-feira,04:06,0.93,Baixa-mar
2025-03-07,Sexta-feira,10:29,1.84,Preamar
2025-03-07,Sexta-feira,17:16,0.8,Baixa-mar
2025-03-07,Sexta-feira,23:38,1.74,Preamar
2025-03-23,Domingo,04:55,1.07,Baixa-mar
2025-03-23,Domingo,11:10,1.82,Preamar
2025-03-23,Domingo,17:53,0.88,Baixa-mar
2025-03-08,Sábado,05:57,0.96,Baixa-mar
2025-03-08,Sábado,12:12,1.86,Preamar
2025-03-08,Sábado,18:55,0.72,Baixa-mar
2025-03-24,Segunda-feira,00:17,1.77,Preamar
2025-03-24,Segunda-feira,06:17,0.95,Baixa-mar
2025-03-24,Segunda-feira,12:31,1.96,Preamar
2025-03-24,Segunda-feira,19:02,0.7,Baixa-mar
2025-03-09,Domingo,01:14,1.83,Preamar
2025-03-09,Domingo,07:19,0.86,Baixa-mar
2025-03-09,Domingo,13:34,1.99,Preamar
2025-03-09,Domingo,19:57,0.58,Baixa-mar
2025-03-25,Terça-feira,01:21,1.97,Preamar
2025-03-25,Terça-feira,07:21,0.76,Baixa-mar
2025-03-25,Terça-feira,13:32,2.16,Preamar
2025-03-25,Terça-feira,19:55,0.49,Baixa-mar
2025-03-10,Segunda-feira,02:14,1.97,Preamar
2025-03-10,Segunda-feira,08:10,0.71,Baixa-mar
2025-03-10,Segunda-feira,14:31,2.15,Preamar
2025-03-10,Segunda-feira,20:44,0.44,Baixa-mar
2025-03-26,Quarta-feira,02:10,2.17,Preamar
2025-03-26,Quarta-feira,08:08,0.54,Baixa-mar
2025-03-26,Quarta-feira,14:21,2.38,Preamar
2025-03-26,Quarta-feira,20:38,0.3,Baixa-mar
2025-03-11,Terça-feira,02:59,2.1,Preamar
2025-03-11,Terça-feira,08:51,0.57,Baixa-mar
2025-03-11,Terça-feira,15:08,2.28,Preamar
2025-03-11,Terça-feira,21:16,0.34,Baixa-mar
2025-03-27,Quinta-feira,02:55,2.37,Preamar
2025-03-27,Quinta-feira,08:55,0.33,Baixa-mar
2025-03-27,Quinta-feira,15:06,2.57,Preamar
2025-03-27,Quinta-feira,21:17,0.14,Baixa-mar
2025-03-12,Quarta-feira,03:36,2.21,Preamar
2025-03-12,Quarta-feira,09:25,0.45,Baixa-mar
2025-03-12,Quarta-feira,15:44,2.38,Preamar
2025-03-12,Quarta-feira,21:49,0.27,Baixa-mar
2025-03-28,Sexta-feira,03:36,2.53,Preamar
2025-03-28,Sexta-feira,09:36,0.16,Baixa-mar
2025-03-28,Sexta-feira,15:51,2.71,Preamar
2025-03-28,Sexta-feira,21:59,0.03,Baixa-mar
2025-03-13,Quinta-feira,04:04,2.3,Preamar
2025-03-13,Quinta-feira,09:57,0.35,Baixa-mar
2025-03-13,Quinta-feira,16:14,2.45,Preamar
2025-03-13,Quinta-feira,22:17,0.24,Baixa-mar
2025-03-29,Sábado,04:16,2.65,Preamar
2025-03-29,Sábado,10:16,0.04,Baixa-mar
2025-03-29,Sábado,16:32,2.78,Preamar
2025-03-29,Sábado,22:40,0.01,Baixa-mar
2025-03-14,Sexta-feira,04:32,2.37,Preamar
2025-03-14,Sexta-feira,10:27,0.29,Baixa-mar
2025-03-14,Sexta-feira,16:46,2.47,Preamar
2025-03-14,Sexta-feira,22:47,0.23,Baixa-mar
2025-03-30,Domingo,04:57,2.7,Preamar
2025-03-30,Domingo,10:59,-0.0,Baixa-mar
2025-03-30,Domingo,17:14,2.77,Preamar
2025-03-30,Domingo,23:19,0.07,Baixa-mar
2025-03-15,Sábado,05:01,2.4,Preamar
2025-03-15,Sábado,10:57,0.26,Baixa-mar
2025-03-15,Sábado,17:12,2.46,Preamar
2025-03-15,Sábado,23:14,0.27,Baixa-mar
2025-03-31,Segunda-feira,05:36,2.67,Preamar
2025-03-31,Segunda-feira,11:40,0.06,Baixa-mar
2025-03-31,Segunda-feira,17:59,2.67,Preamar
2025-03-16,Domingo,05:27,2.39,Preamar
2025-03-16,Domingo,11:23,0.29,Baixa-mar
2025-03-16,Domingo,17:42,2.39,Preamar
2025-03-16,Domingo,23:42,0.34,Baixa-mar
2025-04-01,Terça-feira,00:01,0.2,Baixa-mar
2025-04-01,Terça-feira,06:17,2.57,Preamar
2025-04-01,Terça-feira,12:23,0.19,Baixa-mar
2025-04-01,Terça-feira,18:44,2.49,Preamar
2025-04-17,Quinta-feira,00:04,0.68,Baixa-mar
2025-04-17,Quinta-feira,06:23,2.21,Preamar
2025-04-17,Quinta-feira,12:29,0.66,Baixa-mar
2025-04-17,Quinta-feira,18:49,2.02,Preamar
2025-04-02,Quarta-feira,00:44,0.41,Baixa-mar
2025-04-02,Quarta-feira,07:02,2.41,Preamar
2025-04-02,Quarta-feira,13:12,0.39,Baixa-mar
2025-04-02,Quarta-feira,19:36,2.26,Preamar
2025-04-18,Sexta-feira,00:38,0.81,Baixa-mar
2025-04-18,Sexta-feira,07:01,2.11,Preamar
2025-04-18,Sexta-feira,13:10,0.78,Baixa-mar
2025-04-18,Sexta-feira,19:36,1.9,Preamar
2025-04-03,Quinta-feira,01:29,0.65,Baixa-mar
2025-04-03,Quinta-feira,07:53,2.21,Preamar
2025-04-03,Quinta-feira,14:12,0.61,Baixa-mar
2025-04-03,Quinta-feira,20:36,2.02,Preamar
2025-04-19,Sábado,01:21,0.94,Baixa-mar
2025-04-19,Sábado,07:49,2.0,Preamar
2025-04-19,Sábado,14:10,0.89,Baixa-mar
2025-04-19,Sábado,20:38,1.8,Preamar
2025-04-04,Sexta-feira,02:29,0.88,Baixa-mar
2025-04-04,Sexta-feira,08:59,2.03,Preamar
2025-04-04,Sexta-feira,15:40,0.79,Baixa-mar
2025-04-04,Sexta-feira,21:55,1.84,Preamar
2025-04-20,Domingo,02:27,1.05,Baixa-mar
2025-04-20,Domingo,09:01,1.93,Preamar
2025-04-20,Domingo,15:42,0.93,Baixa-mar
2025-04-20,Domingo,22:04,1.77,Preamar
2025-04-05,Sábado,04:06,1.04,Baixa-mar
2025-04-05,Sábado,10:23,1.91,Preamar
2025-04-05,Sábado,17:16,0.84,Baixa-mar
2025-04-05,Sábado,23:40,1.8,Preamar
2025-04-21,Segunda-feira,04:10,1.07,Baixa-mar
2025-04-21,Segunda-feira,10:25,1.94,Preamar
2025-04-21,Segunda-feira,17:04,0.86,Baixa-mar
2025-04-21,Segunda-feira,23:34,1.86,Preamar
2025-04-06,Domingo,05:49,1.04,Baixa-mar
2025-04-06,Domingo,12:04,1.94,Preamar
2025-04-06,Domingo,18:44,0.76,Baixa-mar
2025-04-22,Terça-feira,05:31,0.95,Baixa-mar
2025-04-22,Terça-feira,11:47,2.05,Preamar
2025-04-22,Terça-feira,18:16,0.71,Baixa-mar
2025-04-07,Segunda-feira,01:04,1.9,Preamar
2025-04-07,Segunda-feira,07:04,0.92,Baixa-mar
2025-04-07,Segunda-feira,13:19,2.05,Preamar
2025-04-07,Segunda-feira,19:40,0.65,Baixa-mar
2025-04-23,Quarta-feira,00:40,2.04,Preamar
2025-04-23,Quarta-feira,06:38,0.77,Baixa-mar
2025-04-23,Quarta-feira,12:51,2.23,Preamar
2025-04-23,Quarta-feira,19:10,0.54,Baixa-mar
2025-04-08,Terça-feira,01:57,2.03,Preamar
2025-04-08,Terça-feira,07:53,0.78,Baixa-mar
2025-04-08,Terça-feira,14:08,2.18,Preamar
2025-04-08,Terça-feira,20:17,0.56,Baixa-mar
2025-04-24,Quinta-feira,01:29,2.23,Preamar
2025-04-24,Quinta-feira,07:32,0.56,Baixa-mar
2025-04-24,Quinta-feira,13:46,2.41,Preamar
2025-04-24,Quinta-feira,20:01,0.37,Baixa-mar
2025-04-09,Quarta-feira,02:36,2.15,Preamar
2025-04-09,Quarta-feira,08:29,0.66,Baixa-mar
2025-04-09,Quarta-feira,14:47,2.28,Preamar
2025-04-09,Quarta-feira,20:53,0.48,Baixa-mar
2025-04-25,Sexta-feira,02:16,2.41,Preamar
2025-04-25,Sexta-feira,08:19,0.36,Baixa-mar
2025-04-25,Sexta-feira,14:34,2.57,Preamar
2025-04-25,Sexta-feira,20:47,0.24,Baixa-mar
2025-04-10,Quinta-feira,03:08,2.25,Preamar
2025-04-10,Quinta-feira,09:01,0.55,Baixa-mar
2025-04-10,Quinta-feira,15:17,2.35,Preamar
2025-04-10,Quinta-feira,21:19,0.43,Baixa-mar
2025-04-26,Sábado,03:02,2.56,Preamar
2025-04-26,Sábado,09:06,0.2,Baixa-mar
2025-04-26,Sábado,15:21,2.68,Preamar
2025-04-26,Sábado,21:29,0.16,Baixa-mar
2025-04-11,Sexta-feira,03:36,2.33,Preamar
2025-04-11,Sexta-feira,09:31,0.46,Baixa-mar
2025-04-11,Sexta-feira,15:49,2.39,Preamar
2025-04-11,Sexta-feira,21:49,0.41,Baixa-mar
2025-04-27,Domingo,03:47,2.67,Preamar
2025-04-27,Domingo,09:55,0.1,Baixa-mar
2025-04-27,Domingo,16:08,2.72,Preamar
2025-04-27,Domingo,22:12,0.15,Baixa-mar
2025-04-12,Sábado,04:02,2.39,Preamar
2025-04-12,Sábado,10:01,0.41,Baixa-mar
2025-04-12,Sábado,16:16,2.41,Preamar
2025-04-12,Sábado,22:14,0.4,Baixa-mar
2025-04-28,Segunda-feira,04:31,2.71,Preamar
2025-04-28,Segunda-feira,10:40,0.07,Baixa-mar
2025-04-28,Segunda-feira,16:57,2.7,Preamar
2025-04-28,Segunda-feira,22:59,0.21,Baixa-mar
2025-04-13,Domingo,04:29,2.41,Preamar
2025-04-13,Domingo,10:29,0.39,Baixa-mar
2025-04-13,Domingo,16:46,2.39,Preamar
2025-04-13,Domingo,22:44,0.43,Baixa-mar
2025-04-29,Terça-feira,05:16,2.69,Preamar
2025-04-29,Terça-feira,11:23,0.12,Baixa-mar
2025-04-29,Terça-feira,17:44,2.59,Preamar
2025-04-29,Terça-feira,23:44,0.33,Baixa-mar
2025-04-14,Segunda-feira,04:59,2.41,Preamar
2025-04-14,Segunda-feira,10:59,0.41,Baixa-mar
2025-04-14,Segunda-feira,17:12,2.34,Preamar
2025-04-14,Segunda-feira,23:10,0.49,Baixa-mar
2025-04-30,Quarta-feira,06:01,2.6,Preamar
2025-04-30,Quarta-feira,12:12,0.24,Baixa-mar
2025-04-30,Quarta-feira,18:32,2.43,Preamar
2025-04-15,Terça-feira,05:25,2.37,Preamar
2025-04-15,Terça-feira,11:25,0.47,Baixa-mar
2025-04-15,Terça-feira,17:44,2.25,Preamar
2025-04-15,Terça-feira,23:38,0.57,Baixa-mar
2025-04-16,Quarta-feira,05:55,2.31,Preamar
2025-04-16,Quarta-feira,11:57,0.55,Baixa-mar
2025-04-16,Quarta-feira,18:12,2.15,Preamar
2025-05-01,Quinta-feira,00:27,0.5,Baixa-mar
2025-05-01,Quinta-feira,06:47,2.46,Preamar
2025-05-01,Quinta-feira,13:04,0.41,Baixa-mar
2025-05-01,Quinta-feira,19:25,2.24,Preamar
2025-05-17,Sábado,00:32,0.82,Baixa-mar
2025-05-17,Sábado,06:53,2.16,Preamar
2025-05-17,Sábado,13:08,0.73,Baixa-mar
2025-05-17,Sábado,19:32,1.94,Preamar
2025-05-02,Sexta-feira,01:17,0.7,Baixa-mar
2025-05-02,Sexta-feira,07:42,2.29,Preamar
2025-05-02,Sexta-feira,14:06,0.6,Baixa-mar
2025-05-02,Sexta-feira,20:25,2.06,Preamar
2025-05-18,Domingo,01:19,0.9,Baixa-mar
2025-05-18,Domingo,07:40,2.09,Preamar
2025-05-18,Domingo,14:06,0.79,Baixa-mar
2025-05-18,Domingo,20:29,1.88,Preamar
2025-05-03,Sábado,02:19,0.88,Baixa-mar
2025-05-03,Sábado,08:47,2.13,Preamar
2025-05-03,Sábado,15:23,0.75,Baixa-mar
2025-05-03,Sábado,21:36,1.92,Preamar
2025-05-19,Segunda-feira,02:19,0.96,Baixa-mar
2025-05-19,Segunda-feira,08:44,2.04,Preamar
2025-05-19,Segunda-feira,15:14,0.81,Baixa-mar
2025-05-19,Segunda-feira,21:38,1.88,Preamar
2025-05-04,Domingo,03:46,1.0,Baixa-mar
2025-05-04,Domingo,09:59,2.02,Preamar
